"DateTime","open","high","low","close"
2021-10-29 21:48:00,371.46,371.46,371.44,371.44
2021-10-29 21:49:00,371.38,371.5,371.34,371.34
2021-10-29 21:50:00,371.3,371.52,371.3,371.3
2021-10-29 21:51:00,371.36,371.42,371.24,371.42
2021-10-29 21:52:00,371.52,371.58,371.46,371.46
2021-10-29 21:53:00,371.62,371.78,371.56,371.56
2021-10-29 21:54:00,371.56,371.56,371.5,371.5
2021-10-29 21:55:00,371.66,371.72,371.66,371.72
2021-10-29 21:56:00,371.8,372,371.8,372
2021-10-29 21:57:00,371.98,371.98,371.84,371.84
2021-10-29 21:58:00,371.8,371.8,371.6,371.6
2021-10-29 21:59:00,371.68,371.68,371.58,371.6
2021-10-29 22:00:00,371.52,371.52,371.22,371.22
2021-10-29 22:01:00,371.42,371.42,371.42,371.42
2021-10-29 22:02:00,371.58,371.6,371.42,371.52
2021-10-29 22:03:00,371.52,371.58,371.52,371.58
2021-10-29 22:04:00,371.82,371.82,371.68,371.76
2021-10-29 22:05:00,371.7,371.7,371.7,371.7
2021-10-29 22:06:00,NaN,NaN,NaN,NaN
2021-10-29 22:07:00,372.1,372.36,372.1,372.36
2021-10-29 22:08:00,372.38,372.48,372.28,372.48
2021-10-29 22:09:00,372.78,373,372.68,372.98
2021-10-29 22:10:00,372.84,372.84,372.52,372.52
2021-10-29 22:11:00,372.56,372.66,372.5,372.5
2021-10-29 22:12:00,372.48,372.48,372.24,372.46
2021-10-29 22:13:00,372.36,372.46,372.36,372.46
2021-10-29 22:14:00,372.42,372.42,372.38,372.38
2021-10-29 22:15:00,372.48,372.48,372.48,372.48
2021-10-29 22:16:00,372.54,372.54,372.54,372.54
2021-10-29 22:17:00,372.5,372.5,372.5,372.5
2021-10-29 22:18:00,372.5,372.5,372.5,372.5
2021-10-29 22:19:00,NaN,NaN,NaN,NaN
2021-10-29 22:20:00,372.48,372.48,372.48,372.48
2021-10-29 22:21:00,372.5,372.5,372.26,372.26
2021-10-29 22:22:00,372.38,372.38,372.36,372.36
2021-10-29 22:23:00,NaN,NaN,NaN,NaN
2021-10-29 22:24:00,372.38,372.38,372.38,372.38
2021-10-29 22:25:00,372.38,372.38,372.38,372.38
2021-10-29 22:26:00,372.3,372.3,371.98,371.98
2021-10-29 22:27:00,372.08,372.08,372.08,372.08
2021-10-29 22:28:00,371.98,372.16,371.98,372.06
2021-10-29 22:29:00,372.16,372.32,372.12,372.12
2021-10-29 22:30:00,372.2,372.2,372.08,372.08
2021-10-29 22:31:00,372,372.1,372,372.02
2021-10-29 22:32:00,NaN,NaN,NaN,NaN
2021-10-29 22:33:00,NaN,NaN,NaN,NaN
2021-10-29 22:34:00,NaN,NaN,NaN,NaN
2021-10-29 22:35:00,372.02,372.36,372.02,372.36
2021-10-29 22:36:00,372.28,372.38,372.28,372.38
2021-10-29 22:37:00,372.18,372.22,372.18,372.22
2021-10-29 22:38:00,372.48,372.48,372.48,372.48
2021-10-29 22:39:00,NaN,NaN,NaN,NaN
2021-10-29 22:40:00,372.48,372.48,372.48,372.48
2021-10-29 22:41:00,372.46,372.46,372.46,372.46
2021-10-29 22:42:00,372.7,372.7,372.7,372.7
2021-10-29 22:43:00,372.7,372.72,372.7,372.72
2021-10-29 22:44:00,372.58,372.58,372.58,372.58
2021-10-29 22:45:00,372.58,372.58,372.52,372.52
2021-10-29 22:46:00,372.18,372.18,372.18,372.18
2021-10-29 22:47:00,NaN,NaN,NaN,NaN
